 


County Details for Precipitation (in)
Champaign County, IL

Date,BROADLANDS 0.1 SSW,CHAMPAIGN 0.3 ESE,CHAMPAIGN 0.3 NNW,CHAMPAIGN 0.6 NNE,CHAMPAIGN 0.7 SW,CHAMPAIGN 0.9 NE,CHAMPAIGN 1.2 S,CHAMPAIGN 1.3 SSW,CHAMPAIGN 1.5 SSE,CHAMPAIGN 1.7 SW,CHAMPAIGN 2.2 S,CHAMPAIGN 2.5 S,CHAMPAIGN 2.9 SW,CHAMPAIGN 3.0 N,CHAMPAIGN 3.5 SSE,CHAMPAIGN 3.6 W,CHAMPAIGN 3.7 WSW,CHAMPAIGN 3S,CHAMPAIGN 4.8 SSW,CHAMPAIGN 9 SW,CHAMPAIGN URBANA WILLARD AP,DEWEY 1.6 NNW,FISHER,HOMER 2.0 N,HOMER 2.0 NW,HOMER 2.0 WSW,HOMER 2.1 NNE,MAHOMET 1.2 S,MAHOMET 1.7 NNE,MAHOMET 5.5 NE,OGDEN,PHILO,PHILO 1.9 ENE,RANTOUL,RANTOUL CHANUTE AFB,SAVOY 0.6 SSE,SAVOY 0.9 N,SAVOY 2.6 WSW,SIDNEY 0.9 N,ST. JOSEPH 0.9 SSW,ST. JOSEPH 2.6 W,URBANA 0.1 SSE,URBANA 0.9 SSE,URBANA 2.3 SSE,URBANA 4.2 ESE,
2018-02-23,0.16,0.08,0.14,0.09,0.06,0.10,0.08,0.07,M,M,M,0.08,M,M,0.00,0.13,0.09,0.07,M,0.09,0.08,0.09,0.27,0.10,0.07,0.08,0.09,0.07,0.06,M,0.19,0.12,M,0.01,0.01,0.08,0.06,M,0.08,0.15,0.09,0.05,0.07,0.07,0.07,
2018-02-24,0.09,0.21,0.25,0.18,0.21,0.20,0.18,0.16,0.18,M,M,0.17,M,M,0.19,0.22,0.19,0.20,M,0.35,0.25,0.19,0.19,0.21,0.19,0.29,0.22,0.15,0.15,M,0.18,0.16,M,0.00,0.00,0.18,0.15,M,0.16,0.18,0.16,0.19,0.18,M,0.18,
2018-02-25,0.36,0.11,0.13,0.14,0.09,0.14,0.10,0.10,0.12,M,M,0.11,M,M,0.00,M,0.11,0.07,M,0.01,0.00,0.07,0.17,0.13,0.10,0.14,0.14,0.11,M,M,0.13,0.10,M,0.00,0.00,0.12,0.09,M,0.13,0.06,0.09,0.03,0.12,M,0.12,
2018-02-26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,M,M,M,M,M,0.00,M,0.00,0.00,M,0.01,0.00,0.00,0.00,0.00,0.00,M,0.00,0.00,M,M,0.00,0.00,M,0.00,0.00,0.00,0.00,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2018-02-27,0.00,0.00,0.00,0.00,0.00,M,0.00,0.00,0.00,M,M,M,M,M,0.00,M,0.00,0.00,M,0.05,0.00,0.00,0.00,0.00,0.00,M,M,0.00,0.00,M,0.00,0.00,M,0.00,0.00,0.00,0.00,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2018-02-28,0.00,0.04,0.03,0.03,0.03,0.05,0.05,0.06,0.06,M,M,M,M,M,0.08,M,M,0.07,M,0.13,0.06,0.03,0.06,0.04,0.03,0.02,M,0.06,0.07,M,0.10,0.01,M,0.30,0.30,0.08,0.07,M,0.02,0.06,0.07,0.03,0.05,0.08,0.08,
2018-03-01,0.02,0.43,0.41,0.19,M,0.19,0.45,0.36,0.26,M,M,0.41,M,M,0.38,M,M,0.37,M,0.37,0.42,0.83,0.63,0.34,0.35,0.63,M,0.43,0.75,M,0.28,0.36,M,0.30,0.30,0.36,0.33,M,0.29,0.39,0.38,0.36,0.31,0.42,0.37,
2018-03-02,0.52,0.08,0.11,0.24,M,0.21,0.10,0.36,0.26,M,M,M,M,M,0.11,M,M,0.07,M,0.03,0.00,0.12,0.67,0.37,0.24,T,M,0.16,0.12,M,0.24,0.03,M,0.02,0.02,0.15,0.02,M,0.13,0.07,M,0.14,0.22,0.13,0.13,
2018-03-03,0.00,0.00,0.00,0.00,M,0.00,0.00,0.00,0.00,M,M,0.00,M,M,0.00,M,0.00,0.00,M,0.03,0.00,0.00,0.00,0.00,0.00,0.00,M,0.00,0.00,M,0.00,0.00,M,0.00,0.00,0.00,0.00,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2018-03-04,0.00,0.00,0.00,0.00,M,0.00,0.00,M,0.00,M,M,0.00,M,M,0.00,M,0.00,0.00,M,0.02,0.00,0.00,0.00,0.00,0.00,0.00,M,0.00,0.00,M,0.00,0.00,M,0.00,0.00,0.00,0.00,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
